en	kr
Based on the fact that certain types of crime tend to cluster in time and space, we predict where the crime will occur in the future based on the criminal record maintained by the police and the recent crime area.	특정 범죄 유형이 시간과 공간에 군집하는 경향이 있다는 점에 착안하여, 경찰이 유지하고 있는 범죄 기록과 최근의 범죄 발생 지점을 토대로 미래에 범죄가 어디서 일어날지를 예측한다.
First, representative keyword related to emotion sets such as Joy, Anger, Fear, and Sadness are extracted from the unstructured document, and the normalized weights of the emotional feature words and information of the unstructured document are trained in a system that combines CNN and LSTM as a training set.	먼저, 비정형 문서로부터 기쁨, 화남, 공포, 슬픔 등의 감정 집합과 연관된 대표 키워드를 추출하고, 감정 특징단어들의 정규화된 가중치와 비정형 문서의 정보를 훈련 집합으로 CNN과 LSTM을 조합한 시스템에 훈련한다.
The characteristics used for detection were determined using LongShort-Term Memory, Decision Tree, Support Vector Machine, and K-Nearest Neighbor.	이때 탐지에 사용한 특징은 Long Short-Term Memory(LSTM), Decision Tree(DT), SupportVector Machine(SVM), K-Nearest Neighbor(K-NN)을 이용하여 결정하였다.
The Extraction of Vehicle Number Components Using Labeling Method	레이블링기법을 이용한 차량 일련번호 추출
Autonomous Driving Through Non-uniform Steering Angles Nodes Determination by Deep Learning	딥러닝을 통한 차등간격의 조향각 노드 결정에 의한 자율주행
Therefore, analysis of customer behavior for maximizing profit is becoming more and more important for online shopping companies.	따라서, 이익을 극대화하기 위한 고객 행동 분석은 온라인 쇼핑 회사들에게 점점 더 중요해지고 있다.
Exploring a Predictive Model for the Employment of Persons with Disabilities Utilizing a Random Forest method: Focusing on the Status and Quality of Employment	랜덤 포레스트를 활용한 장애인 취업 예측 모형: 취업 여부 및 정규직 취업을 중심으로
A Study on Legal Document Classification Systems Using RNNs	RNN을 사용한 법률문서 분류 시스템에 관한 연구
A Study on Voice Command Learning of Smart Toy using Convolutional Neural Network	합성곱 신경망을 이용한 스마트 토이의 음성명령 학습에 관한 연구
The prediction algorithm uses multiple linear regression, support vector machine (SVM), and deep learning such as deep neural network(DNN) and long short-term memory(LSTM).	예측 알고리즘은 다중선형회귀와 머신러닝의 지도학습 중 분류모델인 서포트 벡터 머신 그리고 DNN과 LSTM 등 딥러닝을 이용하였다.
Therefore, the need for an accurate recommendation system is becoming increasingly more important.	따라서, 정확한 추천 시스템에 대한 필요성이 점점 더 중요해지고 있다.
Disturbance Observer using Machine Learning Algorithms	머신 러닝을 이용한 외란 관측기 구현
A Study on Sliding Window based Machine Learning for Web Shell Detection	슬라이딩윈도우 기반 머신러닝을 활용한 웹쉘탐지 방안 연구
This algorithm is a method of increasing the prediction accuracy by giving weight to the server as the impact on the failure increases.	본 알고리즘은 장애에 끼치는 영향이 클수록 해당 서버에 가중치를 주어 예측 정확도를 높이는 방법이다.
The Robust Skin Color Correction Method in Distorted Saturation by the Lighting	조명에 의한 채도 왜곡에 강건한 피부 색상 보정 방법
The experimental results show that the S³-Net model proposed in this paper has a performance of 69.43% in EM and 81.53% in F1 for single test, and 71.28% in EM and 82.67 in F1 for ensemble test.	실험 결과, 본 논문에서 제안한 S³-Net 모델이 한국어 기계 독해 데이터 셋에서 기존의 S²-Net보다 우수한(single test) EM 69.43%, F1 81.53%, (ensemble test) EM 71.28%, F1 82.67%의 성능을 보였다.
Flow Analysis and Profile Modeling for Machine Learning and Performance Evaluation of Control Valve	유동해석을 통한 스마트 제어밸브 학습 및 성능평가용 프로파일 모델링
An Automatic Coding System of Korean Standard Industry/Occupation Code Using Example-based Learning	예제기반의 학습을 이용한 한국어 표준 산업/직업 자동 코딩 시스템
In this study, I would like to suggest an improvement direction when applying existing dictionary learning to Korean along with the case of applying BERT to Korean.	본 연구에서는 BERT를 한국어에 적용한 사례와 함께 기존 사전 학습을 한국어에 적용하려 할 때 개선 방향을 제시하고자 한다.
Computer Vision Based User Tracking Sound System with a Directional Speaker	지향성 스피커를 활용한 컴퓨터 비전 기반 이용자 추적 음향 시스템
In this paper, we empirically compare the effectiveness of training models to recognize beauty-related skin disease using supervised deep learning algorithms.	본 논문에서는 딥러닝 지도학습 알고리즘을 사용한 학습 모델을 대상으로 미용 관련 피부질환 인식의 효과성을 실험적으로 비교한다.
A Transfer Information Optimization Method through the Generation of Noise Based on Grad CAM	Grad CAM 기반의 Noise 생성을 통한 전이 정보 최적화 기법
Improvement of Classification Accuracy of Different Finger Movements Using Surface Electromyography Based on Long Short-Term Memory	LSTM을 이용한 표면 근전도 분석을 통한 서로 다른 손가락 움직임 분류 정확도 향상
Deep Learning-based Action Recognition using Skeleton Joints Mapping	스켈레톤 조인트 매핑을 이용한 딥 러닝 기반 행동 인식
An Analysis on the Influence Factors of Learning Effectiveness for Multivision Education Process -Focusing on Distribution Working Course in Vocational High School-	멀티비전교육과정이 학습효과에 미치는 영향에 관한 연구
SFMOG：Super Fast MOG Based Background Subtraction Algorithm	SFMOG : 초고속 MOG 기반 배경 제거 알고리즘
A Computer Vision-based Method for Detecting Rear Vehicles at Night	컴퓨터비전 기반의 야간 후방 차량 탐지 방법
Implementation of Game Interface using Human Head Motion Recognition	사람의 머리 모션 인식을 이용한 게임 인터페이스 구현
As the electric vehicle (EV) market in South Korea grows, it is required to expand charging facilities to respond to rapidly increasing EV charging demand.	국내 전기차(Electric Vehicle) 시장이 성장함에 따라, 빠르게 증가하는 EV 충전 수요에 대응하기 위한 충전설비의 확충이 요구되고 있다.
Recently, deep learning technologies have been applied to stock price prediction as large scaled data have been supported enough.	최근에는 대용량 데이터에 기반한 딥러닝 기술을 주가 예측에 적용하기 시작했다.
Tracking Data Generation of the Sun-Synchronous Orbit Satellite for Machine-Learning	머신 러닝을 위한 태양동기궤도위성의 추적데이터 생성
A LSTM Based Method for Photovoltaic Power Prediction in Peak Times Without Future Meteorological Information	미래 기상정보를 사용하지 않는 LSTM 기반의 피크시간 태양광 발전량 예측 기법
Experiments were conducted on the ontology knowledge base of music domain and the performance was evaluated.	음악 도메인의 온톨로지(Ontology) 지식베이스를 대상으로 실험을 진행하고 그 성능을 평가하였다.
A Study on the Insider Behavior Analysis Using Machine Learning for Detecting Information Leakage	정보 유출 탐지를 위한 머신 러닝 기반 내부자 행위 분석 연구
Meltdown Threat Dynamic Detection Mechanism using Decision-Tree based Machine Learning Method	의사결정트리 기반 머신러닝 기법을 적용한멜트다운 취약점 동적 탐지 메커니즘
Kernel Adatron Algorithm of Support Vector Machine for Function Approximation	함수근사를 위한 서포트 벡터 기계의 커널 애더트론 알고리즘
The distance between the center position of the target and the output position by neural network was used to measure performance.	신경망에 의한 목표물의 중심 위치와 출력 위치 사이의 거리는 성능을 측정하는 데 사용되었다.
The demand for Korean language education is continuously increasing, and the content of Korean language education has been improved.	한국어 교육의 수요는 지속적으로 증가하고 있고, 한국어 교육의 콘텐츠도 개선을 거듭해 왔다.
Therefore, it is necessary to build a virtual road environment in the simulator rather than the actual road to collect the traning data.	때문에, 실제 도로가 아닌 시뮬레이터 내 가상 도로 환경을 구축하여 합성 데이터를 수집하는 접근법이 필요하다.
